Bait_Prey	Bait	Preys	PreyGene	SaintScore	BFDR	AvgSpec	MIST
E-O00203	E	O00203	AP3B1	0.99	0	4.67	0.963550095
E-O60885	E	O60885	BRD4	0.97	0	2.67	0.97848835
E-P25440	E	P25440	BRD2	1	0	7	0.906592876
E-Q6UX04	E	Q6UX04	CWC27	0.66	0.03	2.67	0.89310916
E-Q86VM9	E	Q86VM9	ZC3H18	0.97	0	2.67	0.796415039
E-Q8IWA5	E	Q8IWA5	SLC44A2	0.98	0	2.67	0.950342834
M-O75439	M	O75439	PMPCB	1	0	9.67	0.985120198
M-O95070	M	O95070	YIF1A	0.97	0	2.33	0.856000835
M-P05026	M	P05026	ATP1B1	1	0	3.67	0.817625601
M-P11310	M	P11310	ACADM	0.97	0	2.67	0.724348569
M-P13804	M	P13804	ETFA	0.97	0	2.33	0.718398295
M-P27105	M	P27105	STOM	0.98	0	3	0.752971772
M-P38435	M	P38435	GGCX	0.96	0.01	2	0.789966998
M-P38606	M	P38606	ATP6V1A	0.65	0.05	2.67	0.794938493
M-P48556	M	P48556	PSMD8	0.65	0.05	2	0.881424779
M-Q00765	M	Q00765	REEP5	1	0	10.67	0.913088507
M-Q10713	M	Q10713	PMPCA	1	0	9.33	0.991059815
M-Q4KMQ2	M	Q4KMQ2	ANO6	1	0	9.33	0.993904419
M-Q5JRX3	M	Q5JRX3	PITRM1	1	0	7	0.952308232
M-Q6PML9	M	Q6PML9	SLC30A9	0.65	0.05	2	0.886323242
M-Q7L8L6	M	Q7L8L6	FASTKD5	1	0	7.33	0.758365887
M-Q8NEW0	M	Q8NEW0	SLC30A7	1	0	4.67	0.766972437
M-Q96CW5	M	Q96CW5	TUBGCP3	1	0	7.67	0.753607002
M-Q96D53	M	Q96D53	COQ8B	0.99	0	3.33	0.80074032
M-Q96ER3	M	Q96ER3	SAAL1	1	0	3.33	0.769472929
M-Q96HR9	M	Q96HR9	REEP6	0.65	0.05	2.33	0.955657163
M-Q96HW7	M	Q96HW7	INTS4	0.65	0.05	2.67	0.943304706
M-Q9BQT8	M	Q9BQT8	SLC25A21	0.65	0.05	2	0.880779937
M-Q9BSJ2	M	Q9BSJ2	TUBGCP2	1	0	13	0.83958055
M-Q9BW92	M	Q9BW92	TARS2	0.97	0	2.67	0.758110505
M-Q9NQC3	M	Q9NQC3	RTN4	1	0	10.67	0.873826097
M-Q9UBU6	M	Q9UBU6	FAM8A1	0.97	0	2.33	0.80448832
M-Q9UDR5	M	Q9UDR5	AASS	0.98	0	3	0.765109504
M-Q9ULX6	M	Q9ULX6	AKAP8L	1	0	4.67	0.751981385
M-Q9Y312	M	Q9Y312	AAR2	0.99	0	4.33	0.801486724
M-Q9Y6E2	M	Q9Y6E2	BZW2	0.97	0	2.33	0.756364362
N-O43818	N	O43818	RRP9	1	0	13	0.861168798
N-P11940	N	P11940	PABPC1	1	0	7.33	0.736635929
N-P19784	N	P19784	CSNK2A2	1	0	7	0.875048268
N-P67870	N	P67870	CSNK2B	0.97	0	2.33	0.803607895
N-Q13283	N	Q13283	G3BP1	1	0	54.67	0.95331626
N-Q13310	N	Q13310	PABPC4	1	0	10	0.846200046
N-Q6PKG0	N	Q6PKG0	LARP1	1	0	8.67	0.73787466
N-Q8NCA5	N	Q8NCA5	FAM98A	1	0	3.67	0.921076719
N-Q8TAD8	N	Q8TAD8	SNIP1	1	0	6.67	0.818230245
N-Q92900	N	Q92900	UPF1	1	0	5.67	0.753067271
N-Q9HCE1	N	Q9HCE1	MOV10	0.99	0	3.33	0.736672944
N-Q9UN86	N	Q9UN86	G3BP2	1	0	35.33	0.958133672
N-Q9NR30	N	Q9NR30	DDX21	1	0	36.67	0.613544528
N-Q9NW13	N	Q9NW13	RBM28	1	0	10	0.628043125
N-Q9Y3U8	N	Q9Y3U8	RPL36	1	0	6.33	0.631167513
S-Q7Z5G4	S	Q7Z5G4	GOLGA7	0.65	0.05	2	0.978892719
S-Q9C0B5	S	Q9C0B5	ZDHHC5	1	0	6	0.982389013
nsp1-P09884	nsp1	P09884	POLA1	0.99	0	3.33	0.981264591
nsp1-P49642	nsp1	P49642	PRIM1	0.99	0	3.33	0.981268688
nsp1-P49643	nsp1	P49643	PRIM2	1	0	4.67	0.993975192
nsp1-Q14181	nsp1	Q14181	POLA2	0.67	0.03	4	0.943678488
nsp1-Q8NBJ5	nsp1	Q8NBJ5	COLGALT1	1	0	7.33	0.794123974
nsp1-Q99959	nsp1	Q99959	PKP2	1	0	43	0.964585351
nsp10-O94973	nsp10	O94973	AP2A2	1	0	5.67	0.99112813
nsp10-P55789	nsp10	P55789	GFER	1	0	4.67	0.965372815
nsp10-Q969X5	nsp10	Q969X5	ERGIC1	1	0	14.67	0.912239515
nsp10-Q96CW1	nsp10	Q96CW1	AP2M1	0.98	0	3	0.982905884
nsp10-Q9HAV7	nsp10	Q9HAV7	GRPEL1	0.98	0	2.67	0.986587081
nsp11-O75347	nsp11	O75347	TBCA	0.93	0.01	2.67	0.768344701
nsp12-A3KN83	nsp12	A3KN83	SBNO1	1	0	15	0.969888009
nsp12-O14874	nsp12	O14874	BCKDK	1	0	8.33	0.98581764
nsp12-O43823	nsp12	O43823	AKAP8	0.65	0.05	2.67	0.717059992
nsp12-O75592	nsp12	O75592	MYCBP2	1	0	6.33	0.987452704
nsp12-O95391	nsp12	O95391	SLU7	1	0	14.33	0.989493635
nsp12-Q13546	nsp12	Q13546	RIPK1	1	0	8	0.9818645
nsp12-Q14157	nsp12	Q14157	UBAP2L	1	0	15.33	0.791211852
nsp12-Q2T9J0	nsp12	Q2T9J0	TYSND1	1	0	11.33	0.993449369
nsp12-Q5EBL8	nsp12	Q5EBL8	PDZD11	0.65	0.05	2	0.961171536
nsp12-Q5JSZ5	nsp12	Q5JSZ5	PRRC2B	1	0	9	0.843969576
nsp12-Q5T6F2	nsp12	Q5T6F2	UBAP2	1	0	9.33	0.89261208
nsp12-Q5VUA4	nsp12	Q5VUA4	ZNF318	1	0	9.67	0.993695111
nsp12-Q6UUV7	nsp12	Q6UUV7	CRTC3	1	0	7.67	0.991104307
nsp12-Q70EL1	nsp12	Q70EL1	USP54	1	0	4.33	0.980964951
nsp12-Q8IWR0	nsp12	Q8IWR0	ZC3H7A	1	0	36	0.980817495
nsp12-Q92615	nsp12	Q92615	LARP4B	1	0	8	0.983254345
nsp12-Q96IZ5	nsp12	Q96IZ5	RBM41	0.65	0.05	2	0.96685652
nsp12-Q99081	nsp12	Q99081	TCF12	0.96	0.01	2	0.992827377
nsp12-Q9H2H8	nsp12	Q9H2H8	PPIL3	1	0	5	0.986726338
nsp12-Q9HAU0	nsp12	Q9HAU0	PLEKHA5	1	0	17.33	0.990541089
nsp13-A7MCY6	nsp13	A7MCY6	TBKBP1	1	0	6.33	0.985289524
nsp13-O14578	nsp13	O14578	CIT	1	0	6	0.887314876
nsp13-O75506	nsp13	O75506	HSBP1	1	0	4.33	0.851502614
nsp13-O95613	nsp13	O95613	PCNT	1	0	181	0.971855938
nsp13-O95684	nsp13	O95684	FGFR1OP	0.65	0.05	2	0.981570359
nsp13-P13861	nsp13	P13861	PRKAR2A	1	0	20	0.897857211
nsp13-P17612	nsp13	P17612	PRKACA	1	0	5.33	0.880321174
nsp13-P31323	nsp13	P31323	PRKAR2B	1	0	6.67	0.983191506
nsp13-P35241	nsp13	P35241	RDX	1	0	7	0.912028315
nsp13-P49454	nsp13	P49454	CENPF	1	0	20	0.873840643
nsp13-Q04724	nsp13	Q04724	TLE1	1	0	4.33	0.96917283
nsp13-Q04726	nsp13	Q04726	TLE3	1	0	18	0.933626993
nsp13-Q08117	nsp13	Q08117	TLE5	0.66	0.04	2.33	0.962431031
nsp13-Q08378	nsp13	Q08378	GOLGA3	1	0	85	0.928738823
nsp13-Q08379	nsp13	Q08379	GOLGA2	1	0	77.33	0.952311087
nsp13-Q14789	nsp13	Q14789	GOLGB1	1	0	90	0.985604541
nsp13-Q4V328	nsp13	Q4V328	GRIPAP1	1	0	31	0.989815969
nsp13-Q5VT06	nsp13	Q5VT06	CEP350	1	0	5.67	0.86755993
nsp13-Q5VU43	nsp13	Q5VU43	PDE4DIP	1	0	23.67	0.979124391
nsp13-Q66GS9	nsp13	Q66GS9	CEP135	1	0	6.33	0.975292134
nsp13-Q76N32	nsp13	Q76N32	CEP68	0.67	0.03	3	0.879704216
nsp13-Q7Z7A1	nsp13	Q7Z7A1	CNTRL	1	0	5	0.989917408
nsp13-Q8IUD2	nsp13	Q8IUD2	ERC1	1	0	24	0.990718127
nsp13-Q8IWJ2	nsp13	Q8IWJ2	GCC2	1	0	4.67	0.987387119
nsp13-Q8N3C7	nsp13	Q8N3C7	CLIP4	0.99	0	3.67	0.966944672
nsp13-Q8N4C6	nsp13	Q8N4C6	NIN	1	0	69	0.991583194
nsp13-Q8N8E3	nsp13	Q8N8E3	CEP112	0.65	0.05	2.33	0.964318835
nsp13-Q8TD10	nsp13	Q8TD10	MIPOL1	1	0	18	0.98176996
nsp13-Q92995	nsp13	Q92995	USP13	1	0	10.33	0.987514452
nsp13-Q96CN9	nsp13	Q96CN9	GCC1	1	0	9.67	0.873361571
nsp13-Q96N16	nsp13	Q96N16	JAKMIP1	1	0	14.67	0.987966991
nsp13-Q96SN8	nsp13	Q96SN8	CDK5RAP2	1	0	62.67	0.939307247
nsp13-Q99996	nsp13	Q99996	AKAP9	1	0	109	0.990813809
nsp13-Q9BQQ3	nsp13	Q9BQQ3	GORASP1	1	0	5.33	0.986870312
nsp13-Q9BQS8	nsp13	Q9BQS8	FYCO1	0.65	0.05	2	0.733173301
nsp13-Q9BV19	nsp13	Q9BV19	C1orf50	1	0	4	0.932056845
nsp13-Q9BV73	nsp13	Q9BV73	CEP250	1	0	151	0.990717833
nsp13-Q9UHD2	nsp13	Q9UHD2	TBK1	1	0	7	0.993970596
nsp13-Q9UJC3	nsp13	Q9UJC3	HOOK1	1	0	24	0.994048081
nsp13-Q9Y2I6	nsp13	Q9Y2I6	NINL	1	0	45.33	0.987790569
nsp14-P06280	nsp14	P06280	GLA	1	0	25.67	0.841137578
nsp14-P12268	nsp14	P12268	IMPDH2	1	0	18.33	0.989667608
nsp14-Q9NXA8	nsp14	Q9NXA8	SIRT5	1	0	11.67	0.99363281
nsp15-P61970	nsp15	P61970	NUTF2	0.97	0	2.33	0.987886
nsp15-P62330	nsp15	P62330	ARF6	1	0	7	0.988131492
nsp15-Q9H4P4	nsp15	Q9H4P4	RNF41	1	0	21.33	0.993560817
nsp16-O14972	nsp16	O14972	VPS26C	0.97	0.01	2.33	0.989672314
nsp16-O43933	nsp16	O43933	PEX1	1	0	7.33	0.993038775
nsp16-O60826	nsp16	O60826	CCDC22	1	0	19.67	0.992439461
